@jorek_model:   302
@n_tor:     3
@n_plane:     8
@n_period:     8
@plottable: energies growth_rates times
@variable_names: Flux        Potential   Current     Vorticity   Density     Temperature V_parallel 
@n_times:     1
@times_xlabel: time step
@times_ylabel: normalized time
@times: "step"     "time"
@n_energies:     6
@energies_xlabel: normalized time
@energies_ylabel: normalized energy
@energies: "time"           "E_{mag,00,cos}" "E_{mag,08,cos}" "E_{mag,08,sin}" "E_{kin,00,cos}" "E_{kin,08,cos}" "E_{kin,08,sin}" 
@n_growth_rates:     6
@growth_rates_xlabel: normalized time
@growth_rates_ylabel: normalized growth rate
@growth_rates: "time"           "G_{mag,00,cos}" "G_{mag,08,cos}" "G_{mag,08,sin}" "G_{kin,00,cos}" "G_{kin,08,cos}" "G_{kin,08,sin}" 
@growth_rates:  8.550000000E+01 -1.215193941E-07  6.532068206E-04  4.933828584E-03  5.455919808E-03  5.259289868E-03  5.418122246E-03
@times:    56   9.300000000E+01
@energies:  9.300000000E+01  1.844616833E-01  6.159222011E-26  6.433463675E-26  2.605720804E-07  2.779802787E-26  2.794014078E-26
@growth_rates:  9.050000000E+01 -8.052380083E-08 -4.053183649E-03 -2.449489046E-03  3.421668135E-03 -5.818547047E-03 -5.784174514E-03
@times:    57   9.800000000E+01
@energies:  9.800000000E+01  1.844599459E-01  4.822726939E-26  5.038889643E-26  2.597807949E-07  2.498884101E-26  2.506364350E-26
@growth_rates:  9.550000000E+01 -9.418691122E-07 -2.446109497E-02 -2.443273185E-02 -3.041344296E-04 -1.065357129E-02 -1.086460625E-02
@times:    58   1.030000000E+02
@energies:  1.030000000E+02  1.844576646E-01  7.195434552E-26  7.544373363E-26  2.568433449E-07  2.449985195E-26  2.476483982E-26
@growth_rates:  1.005000000E+02 -1.236741991E-06  4.001072120E-02  4.036162867E-02 -1.137183250E-03 -1.976229096E-03 -1.199343196E-03
@times:    59   1.080000000E+02
@energies:  1.080000000E+02  1.844567604E-01  5.714476565E-26  6.134232667E-26  2.609516974E-07  2.350325743E-26  2.380780600E-26
@growth_rates:  1.055000000E+02 -4.902091141E-07 -2.304440316E-02 -2.069170398E-02  1.586897656E-03 -4.152804887E-03 -3.941138814E-03
@times:    60   1.130000000E+02
@energies:  1.130000000E+02  1.844564462E-01  6.243751805E-26  6.529572766E-26  2.683284915E-07  2.095269466E-26  2.123518162E-26
@growth_rates:  1.105000000E+02 -1.703349465E-07  8.857854921E-03  6.245651911E-03  2.787662178E-03 -1.148717644E-02 -1.143541935E-02
@times:    61   1.180000000E+02
@energies:  1.180000000E+02  1.844553175E-01  6.426976588E-26  6.775450814E-26  2.733002424E-07  2.006595547E-26  2.050401190E-26
@growth_rates:  1.155000000E+02 -6.119069472E-07  2.892297106E-03  3.696439054E-03  1.835903528E-03 -4.324264004E-03 -3.503874690E-03
@times:    62   1.230000000E+02
@energies:  1.230000000E+02  1.844540777E-01  4.834308826E-26  5.167453298E-26  2.741242972E-07  1.951724020E-26  1.987811730E-26
@growth_rates:  1.205000000E+02 -6.721710576E-07 -2.847660570E-02 -2.709259305E-02  3.010663223E-04 -2.772643321E-03 -3.100107612E-03
@times:    63   1.280000000E+02
@energies:  1.280000000E+02  1.844529860E-01  6.845008473E-26  7.029131950E-26  2.704656057E-07  1.966000090E-26  1.997577791E-26
@growth_rates:  1.255000000E+02 -5.918506693E-07  3.477815300E-02  3.076832454E-02 -1.343670363E-03  7.287972558E-04  4.900941354E-04
@times:    64   1.330000000E+02
@energies:  1.330000000E+02  1.844516342E-01  5.152606754E-26  5.328165269E-26  2.663322864E-07  2.048090314E-26  2.094435326E-26
@growth_rates:  1.305000000E+02 -7.328643458E-07 -2.840169441E-02 -2.770562685E-02 -1.540021310E-03  4.090673702E-03  4.734864097E-03
@times:    65   1.380000000E+02
@energies:  1.380000000E+02  1.844506897E-01  5.269169879E-26  5.365661638E-26  2.673088400E-07  1.862997622E-26  1.906653433E-26
@growth_rates:  1.355000000E+02 -5.120379214E-07  2.237007952E-03  7.012741623E-04  3.659967752E-04 -9.472098935E-03 -9.393440697E-03
@times:    66   1.430000000E+02
@energies:  1.430000000E+02  1.844502271E-01  5.274681293E-26  5.339937315E-26  2.720597440E-07  1.846769229E-26  1.891644971E-26
@growth_rates:  1.405000000E+02 -2.508309290E-07  1.045427134E-04 -4.805779147E-04  1.761699529E-03 -8.749065619E-04 -7.902770443E-04
@times:    67   1.480000000E+02
@energies:  1.480000000E+02  1.844493254E-01  4.304603729E-26  4.380326151E-26  2.752852448E-07  1.898798608E-26  1.959453585E-26
@growth_rates:  1.455000000E+02 -4.888550180E-07 -2.032331746E-02 -1.980907288E-02  1.178612448E-03  2.778362495E-03  3.521884561E-03
@times:    68   1.530000000E+02
@energies:  1.530000000E+02  1.844477571E-01  6.153046896E-26  6.154944211E-26  2.725935388E-07  1.678922804E-26  1.743983496E-26
@growth_rates:  1.505000000E+02 -8.502765829E-07  3.572623048E-02  3.401325102E-02 -9.825997136E-04 -1.230689749E-02 -1.164937890E-02
@times:    69   1.580000000E+02
@energies:  1.580000000E+02  1.844461241E-01  3.839633632E-26  3.880922965E-26  2.673884391E-07  1.654751542E-26  1.724664304E-26
@growth_rates:  1.555000000E+02 -8.853141058E-07 -4.715704356E-02 -4.611826927E-02 -1.927938756E-03 -1.450152785E-03 -1.113943694E-03
@times:    70   1.630000000E+02
@energies:  1.630000000E+02  1.844449676E-01  3.944614214E-26  3.998718708E-26  2.647203775E-07  1.656335684E-26  1.739139701E-26
@growth_rates:  1.605000000E+02 -6.270024652E-07  2.697420463E-03  2.990098395E-03 -1.002833954E-03  9.568711113E-05  8.358140905E-04
@times:    71   1.680000000E+02
@energies:  1.680000000E+02  1.844442595E-01  5.116468803E-26  5.148536103E-26  2.656533717E-07  1.643006755E-26  1.732621531E-26
@growth_rates:  1.655000000E+02 -3.839502103E-07  2.601133558E-02  2.527384356E-02  3.518255553E-04 -8.079792566E-04 -3.754968445E-04
@times:    72   1.730000000E+02
